Symbol,yahoo_symbol,name,etf,test_issue,source
NWSA,NWSA,News Corporation - Class A Common Stock,False,False,nasdaq
NXPI,NXPI,NXP Semiconductors N.V. - Common Stock,False,False,nasdaq
NXST,NXST,"Nexstar Media Group, Inc. - Common Stock",False,False,nasdaq
NXT,NXT,Nextpower Inc. - Class A Common Stock,False,False,nasdaq
OCTV,OCTV,Octave Intelligence plc - Class B Ordinary Shares,False,False,nasdaq
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",False,False,nasdaq
OKTA,OKTA,"Okta, Inc. - Class A Common Stock",False,False,nasdaq
OLED,OLED,Universal Display Corporation - Common Stock,False,False,nasdaq
OLLI,OLLI,"Ollie's Bargain Outlet Holdings, Inc. - Common Stock",False,False,nasdaq
ON,ON,ON Semiconductor Corporation - Common Stock,False,False,nasdaq
ONB,ONB,Old National Bancorp - Common Stock,False,False,nasdaq
OPCH,OPCH,"Option Care Health, Inc. - Common Stock",False,False,nasdaq
ORKA,ORKA,"Oruka Therapeutics, Inc. - Common Stock",False,False,nasdaq
ORLY,ORLY,"O'Reilly Automotive, Inc. - Common Stock",False,False,nasdaq
OSIS,OSIS,"OSI Systems, Inc. - Common Stock",False,False,nasdaq
OTEX,OTEX,Open Text Corporation - Common Shares,False,False,nasdaq
OTTR,OTTR,Otter Tail Corporation - Common Stock,False,False,nasdaq
OUST,OUST,"Ouster, Inc. - Common Stock",False,False,nasdaq
OZK,OZK,Bank OZK - Common Stock,False,False,nasdaq
PAGP,PAGP,"Plains GP Holdings, L.P. - Class A Shares representing limited partner interests",False,False,nasdaq
PANW,PANW,"Palo Alto Networks, Inc. - Common Stock",False,False,nasdaq
PAYX,PAYX,"Paychex, Inc. - Common Stock",False,False,nasdaq
PBLS,PBLS,"Parabilis Medicines, Inc. - Common Stock",False,False,nasdaq
PCAR,PCAR,PACCAR Inc. - Common Stock,False,False,nasdaq
PCTY,PCTY,Paylocity Holding Corporation - Common Stock,False,False,nasdaq
PCVX,PCVX,"Vaxcyte, Inc. - Common Stock",False,False,nasdaq
PECO,PECO,"Phillips Edison & Company, Inc. - Common Stock",False,False,nasdaq
PEGA,PEGA,Pegasystems Inc. - Common Stock,False,False,nasdaq
PENG,PENG,"Penguin Solutions, Inc. - Common Stock",False,False,nasdaq
PEP,PEP,"PepsiCo, Inc. - Common Stock",False,False,nasdaq
PFG,PFG,Principal Financial Group Inc - Common Stock,False,False,nasdaq
PI,PI,"Impinj, Inc. - Common Stock",False,False,nasdaq
PLMR,PLMR,"Palomar Holdings, Inc. - Common stock",False,False,nasdaq
